rank,address,maker_volume_usd,taker_volume_usd,trades,pure_maker
6088,0x607771901194d68853ba8de24fb9eb7083918a56,26238.46,26828.94,413,False
6089,0xd25156e222c9b907b128e27c36821fdb41db4d37,26227.78,18857.32,1137,False
6090,0xc579675fdce3c99582ae23c422e677069edd8479,26222.66,15005.56,38,False
6091,0x509b24aba01a314af452d54076e51b09f73f3262,26216.03,10374.92,62,False
6092,0x0d42d3504ae69136406708fc1cc3117842932eee,26210.8,20378.43,18,False
6093,0x2dd2beefa3eca6d69ae6a7e6f6fd51d4e3c9b035,26198.18,27193.94,1015,False
6094,0x86e13703fc4ac0e63d8980a614a02623f93062c8,26175.47,12878.81,112,False
6095,0x88e22e4569299c4756d682a480165ec94269129e,26153.11,11483.71,49,False
6096,0xa7b3dd59e49ee9754d58a9395efce1d37602246a,26151.43,14135.36,9,False
6097,0x04d118acd9fe3aba299c6a0838cf5db4c4077c9e,26148.44,7219.16,31,False
6098,0xf0dc521472b4846fefb46f02efb5372699ac707a,26131.81,9189.98,31,False
6099,0x15c81b35df1404e5f4bacd63dcfa944b70fdd2d0,26127.9,31386.81,23,False
6100,0x41816fc1ebdfeb33f6356f2655ab499253b3de86,26110.86,24781.1,187,False
6101,0x4bde81588ae938ea4eae90e7d0dde4ba7510c70c,26108.8,12691.74,30,False
6102,0x3697d72c2c6b44f0f762a37e01a8b44ac3c2991d,26104.58,10291.88,35,False
6103,0x58084fa6851c5ece0408cbe600fca3daacf90b74,26101.95,33798.46,35,False
6104,0x212612b1b35a07bee410b75fdb489ab53d54ebc9,26100.17,64.03,26,False
6105,0xd77a673484a82f9d10b3caa595d83b4e74262f08,26100.0,11196.9,1,False
6106,0x66f014408957a8b214ec05e3040003256ff57deb,26084.23,10984.43,40,False
6107,0xf1418999110e4fa5ce53e2853e08a73bf2a7d8da,26078.33,12764.05,40,False
6108,0x6869d86dee5ea40b0c797e02b11e5915b0150484,26060.43,18160.12,259,False
6109,0x31b29ebcc752370d7bd79ad1e6347fa957ea576e,26053.6,10691.57,34,False
6110,0x33e36482674b3a1650d884946e85436abdfe1a41,26048.42,12100.81,45,False
6111,0x1de92e091804c709f5e06bf1d132f946e673831d,26046.63,20952.95,54,False
6112,0xefcedda09b4f2224c856edbd9c41c1d6db124e4a,26043.06,17230.09,147,False
6113,0x7c130a925445c10fe8f80e4d15138cd3f3b5d1f1,26021.37,9288.62,44,False
6114,0xc0b60004082ea10ee0d1bd390d41485dd814e72b,26018.18,12759.71,37,False
6115,0x8a711208f904ef40ab6a5bc7bc4e33eed3a9daf9,26016.08,17883.13,45,False
6116,0x47dae06b8955d626ac0c2a6c856388ed1536ce18,26014.54,12804.03,34,False
6117,0x2b59d7d41eb834596c8363f4505457fd270113cd,26010.05,15363.95,71,False
6118,0xf6f1282b3e2ae0e1560d16be3ea9ccd079897da3,26006.5,1127.53,331,False
6119,0x8cb59265db373c26cbf27ddd16d5caff69cd8685,26001.93,26509.83,150,False
6120,0xbb2b6d7bd0d0c7254fa3818027da09b869ee3304,25994.85,9610.19,32,False
6121,0x0a6356d95e871f7288063d56a2db518ea004fc03,25993.3,34954.35,43,False
6122,0x9e92c6ce04bdc7b38d06fe7b375d1e6751a5e953,25990.85,13607.44,18,False
6123,0x89a0615ff5f1264825050ebf9c10a95c9b39feec,25990.0,32090.0,2,False
6124,0xdb6c64b65192be4552ac36d4bfb5583f480dee14,25964.8,1052.98,3408,False
6125,0x72c4d7da3aa861ec1d1950929403db397ac93652,25963.17,25903.48,2,False
